cpu_percent,memory_percent,latency_ms,error_count,request_rate,active_pods,predicted_load,service,service_type,action
73,94,363,0,433,10,101.87,patient_monitoring,critical,scale_up
95,93,391,7,1149,6,56.21,pharmacy,non_critical,scale_up
3,52,33,6,38,9,80.26,patient_monitoring,critical,scale_down
69,50,189,7,746,3,69.89,lab_report,non_critical,scale_up
95,56,209,0,1817,3,40.45,analytics,non_critical,scale_up
99,85,319,10,1442,7,109.78,pharmacy,non_critical,scale_up
8,72,97,9,1227,9,37.75,analytics,non_critical,scale_up
39,8,249,2,947,8,48.69,pharmacy,non_critical,scale_down
30,16,266,10,200,2,46.8,lab_report,non_critical,scale_up
19,68,99,4,176,3,40.15,patient_monitoring,critical,stable
96,85,86,1,1439,6,84.98,emergency,critical,scale_up
14,90,55,1,22,7,85.74,emergency,critical,scale_down
46,21,70,9,869,5,38.04,patient_monitoring,critical,scale_up
95,31,315,4,1883,7,81.41,pharmacy,non_critical,scale_up
82,77,124,8,733,3,77.97,patient_monitoring,critical,scale_up
41,82,369,1,320,7,82.64,lab_report,non_critical,scale_up
65,21,126,9,364,8,52.13,emergency,critical,scale_up
92,63,203,9,1251,6,87.7,lab_report,non_critical,scale_up
3,27,283,3,1459,1,40.82,lab_report,non_critical,stable
57,70,390,1,193,10,88.89,analytics,non_critical,scale_down
21,63,310,4,856,6,62.11,analytics,non_critical,scale_up
18,68,300,0,167,7,59.73,analytics,non_critical,stable
11,53,399,1,327,4,61.95,patient_monitoring,critical,scale_up
97,46,57,0,714,10,69.43,pharmacy,non_critical,scale_down
70,51,393,10,680,3,90.96,pharmacy,non_critical,scale_up
85,69,467,1,1756,10,63.53,pharmacy,non_critical,scale_down
84,26,129,9,420,3,63.54,emergency,critical,scale_up
20,19,79,10,297,5,24.19,pharmacy,non_critical,scale_up
76,39,86,6,535,1,59.37,pharmacy,non_critical,stable
82,43,351,4,855,7,90.71,emergency,critical,scale_up
5,18,227,8,370,2,31.34,emergency,critical,scale_up
12,77,61,2,1496,5,38.19,analytics,non_critical,stable
20,7,43,10,36,2,32.22,patient_monitoring,critical,scale_up
64,81,150,0,463,9,72.23,lab_report,non_critical,scale_down
16,65,80,6,5,3,37.86,emergency,critical,scale_down
44,60,220,1,1085,3,64.17,pharmacy,non_critical,stable
9,64,40,1,26,10,45.75,emergency,critical,scale_down
74,81,188,7,370,4,80.84,analytics,non_critical,scale_up
15,37,355,2,666,2,55.43,pharmacy,non_critical,scale_up
60,57,350,8,629,3,83.36,emergency,critical,scale_up
40,45,226,2,1052,9,58.2,pharmacy,non_critical,scale_down
43,54,21,2,1130,7,42.06,lab_report,non_critical,stable
71,72,371,1,853,1,95.91,emergency,critical,scale_up
22,43,258,7,259,5,50.22,lab_report,non_critical,scale_up
59,24,55,2,747,5,43.69,analytics,non_critical,stable
20,66,22,0,252,2,32.5,patient_monitoring,critical,stable
14,57,34,10,34,7,60.19,pharmacy,non_critical,scale_up
35,24,170,10,95,6,41.89,patient_monitoring,critical,scale_up
97,36,163,4,475,5,76.55,emergency,critical,scale_up
39,69,258,8,631,4,67.26,lab_report,non_critical,scale_up
19,5,335,8,1160,1,46.82,pharmacy,non_critical,scale_up
90,14,389,0,330,6,88.76,emergency,critical,scale_up
75,6,361,3,76,8,75.55,emergency,critical,scale_up
84,31,314,9,206,2,83.11,analytics,non_critical,scale_up
78,60,231,8,55,5,80.21,patient_monitoring,critical,scale_up
26,33,129,8,549,6,36.9,analytics,non_critical,scale_up
88,58,110,4,746,8,73.89,pharmacy,non_critical,scale_down
63,37,275,5,678,5,71.46,patient_monitoring,critical,scale_up
36,92,267,10,496,1,73.29,patient_monitoring,critical,scale_up
40,33,87,1,45,2,38.69,patient_monitoring,critical,stable
11,70,58,1,13,3,87.71,pharmacy,non_critical,scale_down
50,25,151,2,200,6,48.0,analytics,non_critical,stable
30,23,29,5,960,10,26.72,patient_monitoring,critical,scale_up
9,41,154,7,643,8,33.49,patient_monitoring,critical,scale_up
9,91,57,1,11,9,51.69,patient_monitoring,critical,scale_down
14,81,52,2,27,6,77.06,pharmacy,non_critical,scale_down
85,6,196,10,49,4,64.0,pharmacy,non_critical,scale_up
78,24,161,7,399,1,63.1,lab_report,non_critical,scale_up
25,59,197,1,517,1,50.93,pharmacy,non_critical,stable
4,85,203,3,611,3,49.02,lab_report,non_critical,stable
65,90,110,5,1383,8,73.27,patient_monitoring,critical,scale_up
87,15,198,3,857,1,69.51,emergency,critical,scale_up
75,91,298,8,1159,1,96.92,lab_report,non_critical,scale_up
14,15,60,4,50,3,66.18,emergency,critical,scale_down
64,83,148,7,72,7,71.84,analytics,non_critical,scale_up
32,21,169,7,1256,2,41.71,analytics,non_critical,scale_up
80,16,361,6,875,7,82.65,pharmacy,non_critical,scale_up
20,59,138,1,780,3,43.06,pharmacy,non_critical,stable
55,45,307,2,413,1,72.53,patient_monitoring,critical,scale_up
62,14,241,9,970,1,61.24,lab_report,non_critical,scale_up
63,45,320,6,542,9,78.08,patient_monitoring,critical,scale_up
83,88,50,4,129,3,73.16,pharmacy,non_critical,stable
18,62,119,4,1150,9,41.8,lab_report,non_critical,scale_down
38,82,346,5,243,7,78.69,pharmacy,non_critical,scale_up
34,72,64,0,1157,4,47.31,lab_report,non_critical,stable
95,12,326,9,1275,2,62.8,patient_monitoring,critical,scale_up
40,64,280,6,1231,1,69.66,patient_monitoring,critical,scale_up
87,43,90,6,1291,4,67.98,lab_report,non_critical,scale_up
20,29,384,3,539,9,58.18,emergency,critical,scale_up
69,92,48,1,401,2,67.7,analytics,non_critical,stable
33,77,163,2,593,7,57.09,pharmacy,non_critical,stable
81,69,218,10,407,3,83.81,analytics,non_critical,scale_up
1,75,369,2,479,5,60.86,patient_monitoring,critical,scale_up
9,40,30,7,17,5,30.99,analytics,non_critical,scale_up
16,53,393,5,1381,5,65.96,analytics,non_critical,scale_up
87,88,223,0,735,9,93.67,emergency,critical,scale_up
100,19,335,7,1237,1,91.67,emergency,critical,scale_up
12,37,289,7,294,4,46.59,patient_monitoring,critical,scale_up
68,69,140,7,483,3,69.67,analytics,non_critical,scale_up
54,81,26,0,916,3,55.73,analytics,non_critical,stable
2,59,64,3,26,9,51.8,emergency,critical,scale_down
21,80,261,9,1391,6,63.38,analytics,non_critical,scale_up
83,31,183,1,982,5,71.06,analytics,non_critical,stable
90,25,258,1,1904,1,74.72,emergency,critical,scale_up
77,46,143,7,1184,3,68.97,lab_report,non_critical,scale_up
96,33,276,5,917,3,87.33,lab_report,non_critical,scale_up
14,24,211,0,591,1,36.48,emergency,critical,scale_up
66,54,84,9,857,1,59.31,emergency,critical,scale_up
11,40,216,1,1319,3,41.74,pharmacy,non_critical,stable
3,34,263,7,689,1,39.38,lab_report,non_critical,scale_up
70,36,178,2,837,10,65.27,pharmacy,non_critical,scale_down
18,28,52,4,3,5,25.2,emergency,critical,scale_down
58,45,396,9,533,6,83.17,analytics,non_critical,scale_up
12,60,73,4,26,1,54.93,patient_monitoring,critical,scale_down
19,59,277,10,428,5,55.76,analytics,non_critical,scale_up
19,56,34,4,33,3,66.26,pharmacy,non_critical,scale_down
89,18,269,10,1451,9,76.87,patient_monitoring,critical,scale_up
52,34,291,2,687,6,66.67,lab_report,non_critical,stable
29,67,371,1,222,2,72.14,lab_report,non_critical,scale_up
68,86,203,1,836,3,81.77,lab_report,non_critical,stable
29,42,149,8,37,4,42.07,lab_report,non_critical,scale_up
52,85,122,6,1226,5,66.15,patient_monitoring,critical,scale_up
90,10,354,0,40,4,83.48,analytics,non_critical,scale_up
87,45,368,8,980,4,45.87,emergency,critical,scale_up
23,78,178,7,810,7,54.32,emergency,critical,scale_up
6,89,276,7,1382,10,60.06,emergency,critical,scale_up
79,57,40,0,736,1,62.07,lab_report,non_critical,stable
2,6,169,3,849,1,21.4,emergency,critical,scale_up
98,39,116,0,119,3,72.54,emergency,critical,scale_up
15,22,47,10,29,10,49.93,analytics,non_critical,scale_up
60,67,152,7,241,3,65.78,lab_report,non_critical,scale_up
8,45,242,10,769,5,43.24,patient_monitoring,critical,scale_up
36,43,362,9,1185,5,69.47,patient_monitoring,critical,scale_up
40,61,21,9,1335,9,43.07,patient_monitoring,critical,scale_up
91,62,116,2,611,2,76.92,lab_report,non_critical,scale_up
23,59,104,5,412,1,40.42,patient_monitoring,critical,stable
75,14,342,5,344,2,76.59,emergency,critical,scale_up
68,57,28,4,1259,2,56.42,emergency,critical,scale_up
44,38,171,2,709,5,51.92,patient_monitoring,critical,stable
4,48,72,4,10,10,55.35,emergency,critical,scale_down
100,89,204,2,25,9,97.15,pharmacy,non_critical,scale_down
56,59,28,7,505,8,49.51,pharmacy,non_critical,scale_up
11,6,238,8,409,3,31.92,emergency,critical,scale_up
82,5,47,3,1359,10,49.92,analytics,non_critical,scale_down
1,24,332,10,975,2,42.85,patient_monitoring,critical,scale_up
32,72,145,2,355,9,52.81,patient_monitoring,critical,stable
19,57,328,4,438,7,60.28,patient_monitoring,critical,scale_up
84,38,162,5,506,9,70.61,patient_monitoring,critical,scale_up
34,89,383,10,635,8,83.27,pharmacy,non_critical,scale_up
57,5,336,10,827,3,65.25,patient_monitoring,critical,scale_up
70,95,47,4,789,1,69.78,patient_monitoring,critical,stable
31,74,55,9,1399,3,46.0,lab_report,non_critical,scale_up
19,50,37,1,25,6,54.81,analytics,non_critical,scale_down
85,63,24,3,827,5,65.45,emergency,critical,scale_up
3,92,173,7,307,8,47.01,patient_monitoring,critical,scale_up
28,19,339,6,390,7,54.38,lab_report,non_critical,scale_up
9,74,28,7,41,9,51.09,analytics,non_critical,scale_up
1,19,300,3,587,8,37.37,lab_report,non_critical,scale_down
72,35,155,6,958,9,63.92,emergency,critical,scale_up
23,95,89,4,1353,3,51.61,lab_report,non_critical,stable
54,29,227,0,848,6,60.1,analytics,non_critical,stable
11,93,20,2,885,8,37.17,lab_report,non_critical,scale_down
60,63,235,8,1159,8,74.72,analytics,non_critical,scale_up
96,82,394,10,1445,7,94.16,pharmacy,non_critical,scale_up
38,16,143,0,187,6,38.47,lab_report,non_critical,stable
19,32,371,9,572,8,57.34,analytics,non_critical,scale_up
73,15,349,9,849,1,77.6,patient_monitoring,critical,scale_up
52,77,103,5,140,9,59.68,lab_report,non_critical,scale_down
99,37,187,10,488,8,80.28,pharmacy,non_critical,scale_up
73,45,239,2,214,9,74.33,analytics,non_critical,scale_down
85,54,380,4,1082,2,98.86,patient_monitoring,critical,scale_up
99,14,106,3,1454,9,67.21,pharmacy,non_critical,scale_down
34,20,335,9,1200,4,58.9,lab_report,non_critical,scale_up
78,36,52,10,496,8,55.99,emergency,critical,scale_up
18,73,250,8,1138,6,58.18,pharmacy,non_critical,scale_up
69,87,367,7,573,9,98.45,lab_report,non_critical,scale_up
81,13,386,4,1022,3,85.04,pharmacy,non_critical,scale_up
49,75,74,0,1254,5,56.91,patient_monitoring,critical,scale_up
100,63,334,1,1975,4,69.11,emergency,critical,scale_up
83,62,215,0,898,5,83.4,analytics,non_critical,stable
82,48,44,8,1198,6,62.2,patient_monitoring,critical,scale_up
35,30,193,10,1254,10,48.31,emergency,critical,scale_up
51,69,354,7,735,2,83.07,pharmacy,non_critical,scale_up
15,12,243,1,1168,6,37.74,patient_monitoring,critical,scale_up
41,70,37,5,1405,5,48.01,emergency,critical,scale_up
17,52,81,4,564,5,33.33,patient_monitoring,critical,stable
15,73,78,4,1270,1,39.74,lab_report,non_critical,stable
45,70,41,5,1321,2,50.24,patient_monitoring,critical,scale_up
20,44,29,5,19,5,26.14,analytics,non_critical,scale_down
4,85,113,5,1011,6,40.82,emergency,critical,scale_up
87,51,124,0,154,8,71.51,emergency,critical,scale_up
3,48,114,0,744,9,28.79,analytics,non_critical,scale_down
17,57,80,6,825,4,35.25,lab_report,non_critical,stable
43,94,315,4,725,10,82.65,emergency,critical,scale_up
68,45,375,9,42,9,85.08,analytics,non_critical,scale_up
91,50,289,8,1737,5,38.82,lab_report,non_critical,scale_up
37,27,121,1,102,8,38.9,analytics,non_critical,scale_down
2,87,52,0,32,2,67.2,analytics,non_critical,scale_down
31,46,114,5,190,8,41.08,pharmacy,non_critical,scale_down
100,11,376,3,1623,2,54.38,analytics,non_critical,scale_up
55,58,254,9,1124,7,72.55,lab_report,non_critical,scale_up
3,55,342,8,20,1,52.24,patient_monitoring,critical,scale_up
86,65,237,1,1703,3,55.84,lab_report,non_critical,scale_up
52,55,374,0,678,4,81.26,patient_monitoring,critical,scale_up
95,38,282,3,1266,5,50.36,emergency,critical,scale_up
86,82,201,5,922,3,90.45,pharmacy,non_critical,scale_up
16,17,282,3,1237,3,43.77,lab_report,non_critical,stable
75,21,174,1,212,4,61.62,patient_monitoring,critical,scale_up
55,60,399,8,295,9,85.99,lab_report,non_critical,scale_up
12,60,25,2,4,6,68.59,patient_monitoring,critical,scale_down
44,29,382,1,522,2,69.94,patient_monitoring,critical,scale_up
97,44,351,2,1944,3,69.17,emergency,critical,scale_up
1,20,65,8,14,5,39.89,pharmacy,non_critical,scale_up
22,39,168,5,1159,8,41.82,analytics,non_critical,scale_down
2,68,28,6,25,1,83.99,emergency,critical,scale_down
77,71,344,2,225,7,94.65,lab_report,non_critical,scale_up
55,28,391,9,1206,7,77.41,pharmacy,non_critical,scale_up
14,82,201,4,1176,9,54.05,analytics,non_critical,scale_down
94,35,243,7,286,3,82.37,emergency,critical,scale_up
100,21,475,10,951,6,30.48,lab_report,non_critical,scale_up
26,77,207,9,850,4,58.5,pharmacy,non_critical,scale_up
93,71,40,0,361,8,72.52,analytics,non_critical,scale_down
86,95,326,1,1318,3,106.74,pharmacy,non_critical,scale_up
23,34,286,6,587,8,51.47,emergency,critical,scale_up
40,47,104,7,1355,1,47.21,analytics,non_critical,scale_up
84,5,324,0,566,6,77.03,pharmacy,non_critical,scale_up
5,61,56,6,19,7,60.04,emergency,critical,scale_down
97,29,37,10,1080,6,63.06,analytics,non_critical,scale_up
27,31,234,5,1493,2,49.19,pharmacy,non_critical,stable
24,72,236,10,647,7,58.49,patient_monitoring,critical,scale_up
20,55,31,4,44,10,55.62,lab_report,non_critical,scale_down
90,68,160,1,668,6,82.74,lab_report,non_critical,scale_up
30,55,121,8,1367,1,46.33,emergency,critical,scale_up
95,36,201,6,535,5,79.47,emergency,critical,scale_up
55,42,268,6,570,5,68.04,patient_monitoring,critical,scale_up
1,69,46,6,29,9,44.23,emergency,critical,scale_down
15,75,164,0,250,2,46.9,patient_monitoring,critical,stable
43,72,91,0,646,1,53.49,emergency,critical,stable
74,84,344,10,334,3,97.27,analytics,non_critical,scale_up
75,77,360,7,375,4,97.35,analytics,non_critical,scale_up
90,90,212,7,1856,6,82.32,lab_report,non_critical,scale_up
3,55,54,7,8,8,39.14,emergency,critical,scale_up
7,22,55,8,42,9,37.0,patient_monitoring,critical,scale_up
6,91,31,1,49,1,91.99,lab_report,non_critical,scale_down
56,46,353,3,1326,2,79.75,lab_report,non_critical,scale_up
62,24,59,1,569,9,45.24,analytics,non_critical,scale_down
30,26,219,4,214,4,45.13,pharmacy,non_critical,stable
24,30,193,1,125,1,40.55,emergency,critical,stable
1,89,70,9,29,7,66.33,pharmacy,non_critical,scale_up
7,72,247,10,255,1,50.31,emergency,critical,scale_up
74,44,163,6,625,1,67.75,lab_report,non_critical,stable
4,8,142,5,1079,4,20.76,lab_report,non_critical,stable
54,64,130,2,1325,1,61.85,analytics,non_critical,stable
72,92,319,8,1300,6,98.1,patient_monitoring,critical,scale_up
86,9,32,4,998,3,50.9,pharmacy,non_critical,scale_up
96,28,193,7,1200,8,78.1,patient_monitoring,critical,scale_up
30,69,283,7,676,5,65.35,emergency,critical,scale_up
89,80,178,2,345,5,86.99,emergency,critical,scale_up
58,88,38,1,828,9,60.86,pharmacy,non_critical,scale_down
77,87,147,10,1458,9,82.22,lab_report,non_critical,scale_up
17,11,165,0,1335,3,30.97,emergency,critical,scale_up
87,78,268,1,497,8,94.69,pharmacy,non_critical,scale_down
64,29,90,1,656,2,51.01,analytics,non_critical,stable
67,45,356,10,294,4,83.19,patient_monitoring,critical,scale_up
1,55,149,3,651,7,33.2,analytics,non_critical,stable
73,15,171,8,961,9,60.02,emergency,critical,scale_up
21,32,286,1,1485,10,51.67,analytics,non_critical,scale_down
11,85,62,1,15,8,55.07,emergency,critical,scale_down
61,64,47,8,1135,6,56.67,lab_report,non_critical,scale_up
34,38,77,2,1346,4,38.79,lab_report,non_critical,stable
17,5,251,3,171,1,35.44,pharmacy,non_critical,stable
16,50,112,4,50,4,34.3,emergency,critical,scale_down
95,21,220,1,1178,2,51.16,pharmacy,non_critical,scale_up
17,55,32,4,501,5,29.2,emergency,critical,stable
45,49,385,1,28,10,75.76,analytics,non_critical,scale_down
48,38,273,6,1309,5,65.32,patient_monitoring,critical,scale_up
100,46,365,4,955,8,84.66,emergency,critical,scale_up
43,51,307,8,871,7,69.24,emergency,critical,scale_up
43,19,23,2,1027,10,31.55,pharmacy,non_critical,scale_down
36,27,116,1,218,9,38.14,analytics,non_critical,scale_down
27,49,46,8,503,2,33.81,emergency,critical,scale_up
73,77,323,7,854,2,93.61,pharmacy,non_critical,scale_up
40,13,178,3,235,10,42.17,analytics,non_critical,scale_down
100,23,449,8,1959,7,54.41,analytics,non_critical,scale_up
34,33,245,6,1378,3,54.16,analytics,non_critical,stable
47,48,290,4,680,7,68.26,lab_report,non_critical,stable
94,19,299,3,410,5,83.42,analytics,non_critical,scale_up
16,47,70,5,11,1,69.74,emergency,critical,scale_down
7,78,90,5,214,7,36.33,lab_report,non_critical,stable
83,42,68,5,966,2,62.83,patient_monitoring,critical,scale_up
18,61,67,7,729,7,35.46,pharmacy,non_critical,scale_up
98,94,254,7,1076,3,106.35,emergency,critical,scale_up
73,74,168,10,269,3,76.04,patient_monitoring,critical,scale_up
18,33,304,0,1362,7,52.02,analytics,non_critical,scale_up
8,77,351,3,575,8,63.35,patient_monitoring,critical,scale_up
14,92,333,1,852,3,69.6,patient_monitoring,critical,scale_up
12,37,307,9,264,2,48.33,analytics,non_critical,scale_up
2,5,24,3,7,5,82.21,analytics,non_critical,scale_down
85,24,204,2,501,9,71.1,patient_monitoring,critical,scale_up
98,34,252,7,772,7,85.94,patient_monitoring,critical,scale_up
91,7,272,5,1815,8,29.63,patient_monitoring,critical,scale_up
31,61,206,10,1208,8,56.82,pharmacy,non_critical,scale_up
35,79,103,4,261,3,52.02,lab_report,non_critical,stable
59,60,255,4,1044,9,75.09,lab_report,non_critical,scale_down
18,65,124,1,1476,6,43.85,patient_monitoring,critical,scale_up
76,31,333,10,1151,9,82.9,emergency,critical,scale_up
99,12,77,9,1336,10,63.47,pharmacy,non_critical,scale_up
6,26,44,10,11,6,18.02,analytics,non_critical,scale_up
6,85,280,2,333,2,57.17,lab_report,non_critical,stable
88,94,196,5,1025,8,93.85,patient_monitoring,critical,scale_up
14,68,177,6,460,7,46.02,emergency,critical,stable
69,32,57,2,418,9,50.64,emergency,critical,stable
17,80,277,9,896,9,61.99,pharmacy,non_critical,scale_up
90,59,128,7,1167,3,77.83,lab_report,non_critical,scale_up
7,81,131,8,163,4,41.23,lab_report,non_critical,scale_up
94,67,427,3,1059,8,55.79,patient_monitoring,critical,scale_up
10,82,70,0,22,10,90.38,analytics,non_critical,scale_down
20,70,359,6,1344,7,69.59,analytics,non_critical,scale_up
68,76,262,3,1003,1,85.01,emergency,critical,scale_up
61,30,391,8,1443,5,81.49,emergency,critical,scale_up
92,61,450,2,1812,3,86.55,patient_monitoring,critical,scale_up
9,60,28,9,42,7,77.48,pharmacy,non_critical,scale_up
50,52,128,0,107,9,53.61,emergency,critical,stable
40,17,62,8,782,3,32.86,pharmacy,non_critical,scale_up
8,12,373,1,335,8,45.57,pharmacy,non_critical,scale_down
28,32,75,1,1480,7,34.06,lab_report,non_critical,stable
76,30,205,8,1059,2,69.62,analytics,non_critical,scale_up
74,55,382,0,498,8,92.7,lab_report,non_critical,scale_down
78,21,335,1,567,3,79.93,emergency,critical,scale_up
30,40,68,6,338,5,34.48,emergency,critical,stable
16,27,154,7,929,2,33.36,lab_report,non_critical,scale_up
61,22,37,4,255,2,41.31,analytics,non_critical,stable
46,39,337,1,1062,10,70.52,lab_report,non_critical,scale_down
22,11,309,0,258,9,45.72,pharmacy,non_critical,scale_down
35,93,204,5,148,10,66.1,patient_monitoring,critical,scale_up
37,61,149,4,1289,3,54.28,patient_monitoring,critical,scale_up
23,37,93,0,1344,6,34.59,pharmacy,non_critical,stable
89,46,198,10,290,4,78.68,pharmacy,non_critical,scale_up
52,82,141,8,947,5,66.59,emergency,critical,scale_up
45,6,251,10,842,9,51.08,lab_report,non_critical,scale_up
6,10,56,3,6,8,56.93,lab_report,non_critical,scale_down
12,18,95,10,1147,4,23.19,pharmacy,non_critical,scale_up
27,84,394,3,936,10,79.97,pharmacy,non_critical,scale_down
1,45,47,5,39,7,74.54,pharmacy,non_critical,scale_down
91,26,336,7,1081,8,89.06,patient_monitoring,critical,scale_up
71,81,26,6,943,6,64.29,patient_monitoring,critical,scale_up
48,23,397,7,1353,7,73.31,lab_report,non_critical,scale_up
90,31,87,10,846,9,64.69,pharmacy,non_critical,scale_up
23,90,378,7,335,2,76.97,pharmacy,non_critical,scale_up
40,37,291,7,427,7,61.05,analytics,non_critical,scale_up
60,50,378,3,183,10,83.17,analytics,non_critical,scale_down
4,5,27,1,47,8,77.74,pharmacy,non_critical,scale_down
14,54,24,7,8,6,70.36,emergency,critical,scale_up
76,64,140,5,1199,6,73.6,patient_monitoring,critical,scale_up
20,18,86,4,627,3,25.25,pharmacy,non_critical,stable
5,67,156,8,193,4,38.59,patient_monitoring,critical,scale_up
60,26,351,3,227,10,73.35,analytics,non_critical,scale_down
8,41,80,9,1446,3,27.19,analytics,non_critical,scale_up
11,83,133,1,1349,8,46.4,emergency,critical,scale_up
39,7,119,8,1045,4,35.59,emergency,critical,scale_up
100,74,456,1,1421,7,82.31,patient_monitoring,critical,scale_up
89,80,93,6,685,9,79.17,analytics,non_critical,scale_down
93,20,142,2,1155,3,69.01,emergency,critical,scale_up
37,82,398,9,1196,7,85.29,pharmacy,non_critical,scale_up
47,31,332,7,612,9,67.22,emergency,critical,scale_up
27,52,39,4,171,2,33.34,lab_report,non_critical,stable
88,5,481,6,1410,6,57.87,analytics,non_critical,scale_up
86,50,296,9,1337,3,57.71,emergency,critical,scale_up
24,61,146,0,169,2,45.24,patient_monitoring,critical,stable
61,71,239,7,196,5,76.09,lab_report,non_critical,scale_up
54,81,120,1,1343,4,65.99,analytics,non_critical,stable
55,41,386,5,470,1,79.34,analytics,non_critical,scale_up
34,28,175,7,252,2,43.4,analytics,non_critical,scale_up
18,9,37,5,16,6,39.32,pharmacy,non_critical,scale_down
51,67,359,4,1360,1,84.22,patient_monitoring,critical,scale_up
59,31,313,4,356,8,70.81,patient_monitoring,critical,scale_up
6,73,230,1,1256,1,50.41,emergency,critical,scale_up
46,65,57,6,469,7,49.14,lab_report,non_critical,stable
90,16,302,2,1011,5,72.88,emergency,critical,scale_up
46,55,341,5,205,10,74.01,emergency,critical,scale_up
87,10,364,6,1329,10,85.56,analytics,non_critical,scale_down
8,87,77,5,46,9,53.42,pharmacy,non_critical,scale_down
59,92,169,10,1132,2,76.26,emergency,critical,scale_up
96,47,207,1,109,10,83.02,pharmacy,non_critical,scale_down
18,89,331,3,336,5,69.47,patient_monitoring,critical,scale_up
75,64,337,3,522,5,91.44,patient_monitoring,critical,scale_up
11,70,382,9,27,6,64.75,emergency,critical,scale_up
24,8,207,5,1240,6,37.58,analytics,non_critical,stable
54,83,273,8,1384,4,81.97,analytics,non_critical,scale_up
45,36,399,6,226,2,73.65,lab_report,non_critical,scale_up
10,16,196,1,740,6,30.88,emergency,critical,stable
24,79,78,1,848,6,45.2,pharmacy,non_critical,stable
80,82,115,9,1049,7,78.2,emergency,critical,scale_up
71,62,353,8,30,5,89.46,lab_report,non_critical,scale_up
53,6,268,3,728,8,56.56,pharmacy,non_critical,scale_down
79,45,381,5,35,3,91.17,pharmacy,non_critical,scale_up
50,11,199,5,1484,6,51.17,lab_report,non_critical,stable
11,41,54,3,868,10,24.94,lab_report,non_critical,scale_down
49,48,185,0,838,3,59.08,lab_report,non_critical,stable
91,71,170,2,889,10,85.58,analytics,non_critical,scale_down
20,57,37,3,15,8,97.42,emergency,critical,scale_down
12,49,72,10,6,4,81.11,analytics,non_critical,scale_up
6,77,51,4,21,6,50.66,analytics,non_critical,scale_down
31,86,104,10,78,10,51.86,analytics,non_critical,scale_up
57,9,270,6,230,1,58.66,emergency,critical,scale_up
23,43,295,5,1477,1,56.85,emergency,critical,scale_up
26,72,146,4,96,9,49.39,pharmacy,non_critical,scale_down
